phase,title,estimate_dev_days,confidence,hard_predecessor,acceptance_critical_to_launch,relative_start,relative_end,workstream,milestone,stop_review,baseline_status,acceptance_weight_points
27,Resonance and redundancy,1.5,medium,26,yes,M3,M3,graybox_toy,,,planned,6
28,Resource ledger and transaction rules,1.25,medium,27,yes,M3,M3,graybox_toy,,,planned,5
29,Production phase resolver,1.5,medium,28,yes,M3,M3,graybox_toy,,,planned,6
30,Core-loop graybox gate,2,medium,29,yes,M3,M3,graybox_toy,prototype,core_loop_go_cut_pivot,planned,8
31,Threat forecast model,1.25,medium,30,yes,M4,M4,combat_mvp,,,planned,5
32,Enemy lane and path rules,1.25,medium,31,yes,M4,M4,combat_mvp,,,planned,5
33,Combat tick and auto-resolution,1.75,medium,32,yes,M4,M4,combat_mvp,,,planned,7
34,Defense targeting and firing rules,1.5,medium,33,yes,M4,M4,combat_mvp,,,planned,6
35,Enemy attack and sabotage rules,1.5,medium,34,yes,M4,M4,combat_mvp,,,planned,6
36,Health repair armor and destruction,1.5,medium,35,yes,M4,M4,combat_mvp,,,planned,6
37,Siege presentation bridge,1.25,medium,36,yes,M4,M4,combat_mvp,,,planned,5
38,Aftermath and recovery,1.25,medium,37,yes,M4,M4,combat_mvp,,,planned,5
39,Research offers rerolls and banishes,1.25,medium,38,yes,M4,M4,combat_mvp,,,planned,5
40,Combat vertical-slice gate,2.5,medium,39,yes,M4,M4,combat_mvp,vertical_slice,combat_vertical_slice_go_cut_pivot,planned,10
41,Doctrine framework,1.25,medium,40,yes,M5,M5,core_content,,,planned,5
42,Iron Charter doctrine,1,medium,41,yes,M5,M5,core_content,,,planned,4
43,Verdant Compact doctrine,1,medium,42,yes,M5,M5,core_content,,,planned,4
44,Lantern Synod doctrine,1,medium,43,yes,M5,M5,core_content,,,planned,4
45,Free Marches doctrine,1,medium,44,yes,M5,M5,core_content,,,planned,4
46,Civilian structures batch one,1.25,medium,45,yes,M5,M5,core_content,,,planned,5
47,Civilian structures batch two,1.25,medium,46,yes,M5,M5,core_content,,,planned,5
48,Network structures batch,1.25,medium,47,yes,M5,M5,core_content,,,planned,5
49,Civilian structures batch three,1.25,medium,48,yes,M5,M5,core_content,,,planned,5
50,Combat structures batch,3.5,medium,49,yes,M5,M5,core_content,,,planned,14
51,Upgrade-system architecture,1.25,medium,50,yes,M6,M6,threats_bosses,,,planned,5
52,General upgrade catalog,1.25,medium,51,yes,M6,M6,threats_bosses,,,planned,5
53,Event-system architecture,1,medium,52,yes,M6,M6,threats_bosses,,,planned,4
54,Event catalog,1.25,medium,53,yes,M6,M6,threats_bosses,,,planned,5
55,Raider enemy family,1.5,medium,54,yes,M6,M6,threats_bosses,,,planned,6
56,Hush enemy family,1.5,medium,55,yes,M6,M6,threats_bosses,,,planned,6
57,Siege enemy family,1.5,medium,56,yes,M6,M6,threats_bosses,,,planned,6
58,Elite and mutator layer,1.25,medium,57,yes,M6,M6,threats_bosses,,,planned,5
59,Boss one — Mute Colossus,1.5,medium,58,yes,M6,M6,threats_bosses,,,planned,6
60,Boss two and three,1.75,medium,59,yes,M6,M6,threats_bosses,,,planned,7
61,Run director and fifteen-Watch pacing,2,medium,60,yes,M7,M8,feel_progression_vfx,,,planned,8
62,Difficulty Oaths,1.5,medium,61,yes,M7,M8,feel_progression_vfx,,,planned,6
63,Metaprogression without power creep,1.5,medium,62,yes,M7,M8,feel_progression_vfx,,,planned,6
64,Codex and rules reference,1,medium,63,yes,M7,M8,feel_progression_vfx,,,planned,4
65,Tutorial architecture,1.5,medium,64,yes,M7,M8,feel_progression_vfx,,,planned,6
66,First-run guided scenario,2,medium,65,yes,M7,M8,feel_progression_vfx,,,planned,8
67,Defeat analysis and post-run report,1.5,medium,66,yes,M7,M8,feel_progression_vfx,,,planned,6
68,Game-feel pass one,2,low,67,yes,M7,M8,feel_progression_vfx,,,planned,8
69,VFX system,3,low,68,yes,M7,M8,feel_progression_vfx,,,planned,12
70,Animation system,4,low,69,yes,M7,M8,feel_progression_vfx,gamefeel_art_pipeline,production_throughput_review,planned,16
71,Art bible finalization,1,low,70,yes,M8,M9,final_art_audio,,,planned,4
72,Blender building kit and modular library,2,low,71,yes,M8,M9,final_art_audio,,,planned,8
73,Final civilian asset batch,1.5,low,72,yes,M8,M9,final_art_audio,,,planned,6
74,Final defense asset batch,1.5,low,73,yes,M8,M9,final_art_audio,,,planned,6
75,Final enemy asset batch,1.5,low,74,yes,M8,M9,final_art_audio,,,planned,6
76,Boss art production,1.5,low,75,yes,M8,M9,final_art_audio,,,planned,6
77,Environment and board art,1.5,low,76,yes,M8,M9,final_art_audio,,,planned,6
78,UI final art and iconography,1.5,low,77,yes,M8,M9,final_art_audio,,,planned,6
79,Sound-effects production,1.25,low,78,yes,M8,M9,final_art_audio,,,planned,5
80,Adaptive music and narrative text,1.75,low,79,yes,M8,M9,final_art_audio,,,planned,7
81,Accessibility implementation pass,1.5,medium,80,yes,M9,M10,accessibility_reliability,,,planned,6
82,Controller-first audit,1.25,medium,81,yes,M9,M10,accessibility_reliability,,,planned,5
83,Keyboard and mouse efficiency audit,1,medium,82,yes,M9,M10,accessibility_reliability,,,planned,4
84,Resolution localization and safe-area audit,1.25,medium,83,yes,M9,M10,accessibility_reliability,,,planned,5
85,CPU simulation optimization,1.25,medium,84,yes,M9,M10,accessibility_reliability,,,planned,5
86,GPU memory and asset optimization,1.25,medium,85,yes,M9,M10,accessibility_reliability,,,planned,5
87,Save resume suspend and corruption hardening,2.25,medium,86,yes,M9,M10,accessibility_reliability,,,planned,9
88,Settings and first-launch behavior,1,medium,87,yes,M9,M10,accessibility_reliability,,,planned,4
89,Localization pipeline,1.25,medium,88,yes,M9,M10,accessibility_reliability,,,planned,5
90,Reliability and crash diagnostics,1.75,medium,89,yes,M9,M10,accessibility_reliability,reliability,,planned,7
91,Balance laboratory and simulation tools,1.5,medium,90,yes,M10,M11,platform_demo,,,planned,6
92,Debug overlay and developer console,1,medium,91,yes,M10,M11,platform_demo,,,planned,4
93,Unit-test completion,1.25,medium,92,yes,M10,M11,platform_demo,,,planned,5
94,Integration and end-to-end tests,1.75,medium,93,yes,M10,M11,platform_demo,,,planned,7
95,Platform and export hardening,1.25,medium,94,yes,M10,M11,platform_demo,,,planned,5
96,Steamworks integration,1.5,medium,95,yes,M10,M11,platform_demo,,,planned,6
97,Demo content boundary,1,medium,96,yes,M10,M11,platform_demo,,,planned,4
98,Demo onboarding and pacing,1.25,medium,97,yes,M10,M11,platform_demo,,,planned,5
99,Demo QA and compatibility,1.5,medium,98,yes,M10,M11,platform_demo,,,planned,6
100,Vertical-slice and demo milestone gate,1.75,medium,99,yes,M10,M11,platform_demo,demo,demo_go_no_go,planned,7
101,Steam store page strategy,0.75,low,100,yes,M11,M12,market_feedback_lock,,,planned,3
102,Logo capsule and key-art production,1,low,101,yes,M11,M12,market_feedback_lock,,,planned,4
103,Trailer production,1,low,102,yes,M11,M12,market_feedback_lock,,,planned,4
104,Press and creator kit,0.5,low,103,yes,M11,M12,market_feedback_lock,,,planned,2
105,Public playtest operations,1,low,104,yes,M11,M12,market_feedback_lock,,,planned,4
106,Steam Next Fest readiness,1,low,105,yes,M11,M12,market_feedback_lock,,,planned,4
107,Feedback synthesis and decision review,0.75,low,106,yes,M11,M12,market_feedback_lock,feedback_review,market_feedback_go_cut_pivot,planned,3
108,Post-demo balance and UX revision,1,low,107,yes,M11,M12,market_feedback_lock,,,planned,4
109,Full content lock,0.75,low,108,yes,M11,M12,market_feedback_lock,,,planned,3
110,Presentation polish and screenshot pass,1,low,109,yes,M11,M12,market_feedback_lock,content_lock,,planned,4
111,Alpha stability phase,3,low,110,yes,M12,M15,release,alpha,,planned,12
112,External beta,3,low,111,yes,M12,M15,release,beta,beta_shipability_review,planned,12
113,Localization production and linguistic QA,3,low,112,yes,M12,M15,release,,,planned,12
114,Release-candidate hardening,3,low,113,yes,M12,M15,release,release_candidate,release_candidate_go_no_go,planned,12
115,Steam depot pricing and launch configuration,2,low,114,yes,M12,M15,release,,,planned,8
116,Launch-day operations,2.25,low,115,yes,M12,M15,release,launch,,planned,9
117,Emergency hotfix pipeline,2,low,116,postlaunch,M15,M16,postlaunch,,,planned,8
118,First thirty-day support and balance patch,3,low,117,postlaunch,M15,M16,postlaunch,,,planned,12
119,Post-launch reusable modes,2,low,118,postlaunch,M15,M16,postlaunch,,,planned,8
120,Final project acceptance and future roadmap,3,low,119,postlaunch,M15,M16,postlaunch,final_acceptance,,planned,12
